Header: 0
Map Number: 1
Object Count: 2870
Type,PositionX,PositionY,PositionZ,AngleX,AngleY,AngleZ,Scale
30,13.97105,6.825578,44.23022,0,0,-60,0.9400001
30,7.849893,6.430034,-20.85517,0,0,150,1
33,9.5,7.5,79.48616,-25,0,-30,1
33,15,7.5,121.2334,-25,0,-30,1
0,4.046356,14.98201,205.0257,0,0,0,1
24,14.43087,7.697476,163.2845,0,0,0,1
24,13.08736,5.316862,67.64935,0,0,120,0.7000003
24,9.632434,7.077857,136.1819,0,0,120,1
33,14.82588,15.01894,156.105,-365,0,1560,1
32,14.5,15.5,160.7713,-365,0,1500,1
0,3.426851,27.35475,234.8597,0,0,0,1
1,3.5,23.5,224.1425,0,0,570,1
41,6.886664,30.39181,146.6971,-45,0,1530,0.7400002
33,12.05151,30.60702,103.2616,-45,0,1530,1
33,7,31,209.2238,0,0,1530,1
0,3.860868,17.8433,224.2295,0,0,90,1
21,6.269629,29.01292,357.5073,-60,0,-150,1
21,7.469024,23.63986,324.4421,-60,0,-60,1
21,5.931678,17.47761,327.7881,-60,0,-60,1
24,10,28.5,180.8828,-340,0,1890,1
24,7.5,25,193.4654,-340,0,1890,1
24,6,17,185.8941,-340,0,1890,1
24,5.5,22,219.9295,-340,0,1890,1
22,5,28.5,249.5182,-380,0,1590,1
22,6,28.5,220.8392,-380,0,1590,1
21,6.88164,26.241,524.2556,-410,0,1650,1
21,7.193276,31.61792,362.176,25,0,480,1
33,10.5,29.5,175.9797,355,0,1530,1
21,15.61474,31.82318,240,200,0,420,1
24,9.481518,16.4853,214.887,0,0,120,1
23,14.86549,27.5183,70.20174,-365,0,1500,1
0,3.5,32,239.8817,0,0,0,1
33,7.5,45.5,205.4013,0,0,570,1
33,6.5,36.5,201.0889,0,0,750,1
32,3.5,44,240.8292,0,0,750,1.739999
32,4,38,219.6832,0,0,810,1.979999
32,4,36,223.9619,35,0,750,1.38
32,2.5,37.5,233.2497,35,0,750,1
32,3,47.5,252.3097,35,0,750,1
32,4.243551,43.71046,488.9111,35,0,780,1.559999
32,4.700819,38.70681,531.0476,35,0,450,1
32,4,34,229.2145,35,0,450,3.279998
32,2.5,33.5,239.4662,60,0,780,2.199999
32,1,36,245.2877,-5,0,60,1.559999
32,1,33,247.2684,-5,0,-30,1
32,12.22787,36.29694,89.62117,-5,0,-360,0.9200001
31,11.66286,37.03504,92.4234,-5,0,-240,1
31,2.298856,46.44759,179.3411,-5,0,-240,1
31,4.224508,40.21833,613.0251,35,0,120,1
30,4.654581,36.0443,650.0195,35,0,120,1
30,0.3172508,37.30915,677.4902,10,0,480,1
30,3.672881,35.445,420.4562,35,0,480,1
33,5,33.5,226.8442,35,0,480,1
33,5.5,44,232.7822,35,0,480,1
33,11.5,42,174.8975,35,0,480,1
33,12.5,37.5,170.1316,10,0,810,1
33,5.5,38.5,216.0633,35,0,750,1
33,4,43,251.5673,35,0,840,1
41,6.885763,43.52351,107.0892,-20,0,1800,1
33,7.507486,42.10589,127.0907,-45,0,1530,1
33,7.034139,42.3642,131.4731,-45,0,1530,1
33,12.5,45,172.6628,0,0,1530,1
33,7.5,43,201.5101,0,0,1530,1
33,6,34.5,208.9641,0,0,1530,1
21,7.232887,42.76711,331.6641,-305,0,1140,1
21,6.664753,42.32623,324.3479,-305,0,1140,1
21,7.42591,43.05814,334.7896,-305,0,1140,1
21,6.161145,35.4329,347.1536,-305,0,1140,1
21,5.252687,32.62971,358.8468,-305,0,1140,1
20,5.987676,32.806,351.947,-305,0,1140,1
20,5.546542,34.94116,367.6772,-305,0,1140,1
24,4.662323,34.627,484.3959,-445,0,1710,0.9000001
24,4.907865,34.85522,269.2701,-340,0,1890,1
24,7.922876,43.25377,210.4518,-340,0,1890,1
24,5.28041,37.28808,251.4818,-340,0,1890,1
25,12.5,36.5,178.3228,-340,0,2190,1
25,13,44.5,173.1032,-340,0,2190,1
22,5.5,35.5,214.1524,-380,0,1590,1
21,11.56609,44.02569,339.738,-315,0,2220,1
21,5.578609,37.02296,384.571,-285,0,2220,1
21,6.857724,33.78143,526.1479,-410,0,1650,1
21,6.593754,41.4411,487.8923,-410,0,1650,1
20,6.308711,38.57134,622.6899,-435,0,1350,1
131,5.167709,40.68245,595.9688,-435,0,1350,1
131,12.5,40,111.9717,-435,0,1350,1
132,8,43,197.2217,-435,0,1350,1
132,12.5,44,176.0917,-435,0,1350,1
132,6,35,213.4044,-435,0,1350,1
32,2,45,273.5573,-45,0,1530,1
34,5.306472,36.80725,239.2607,0,0,570,1
131,14.94764,45.15996,-211.1609,-435,0,1350,1.819999
41,11.66514,43.86152,97.12962,-20,0,1800,0.6600003
131,11.90856,41.34677,67.22131,-20,0,1800,1
131,8.30328,40.40422,62.161,-20,0,1800,1
131,14.8496,45.45013,87.38466,-20,0,1800,1
51,-1.200526,40.95793,0,-435,0,1350,1
20,14.26721,34.70047,323.8716,0,0,840,1
21,14.23,33.17184,352.7725,25,0,720,1
21,9.238036,45.74475,463.7013,25,0,480,1
20,6.196932,46.82017,494.7442,25,0,480,1
20,6.801098,47.48893,487.861,25,0,480,1
33,13.5,43.5,169.8153,355,0,1530,1
59,3,41.5,187.5622,350,0,2310,0.6800003
31,4.578712,39.13622,525.205,-5,0,-600,1
59,1.812096,41.68916,170.4459,-5,0,-660,1
69,6,40,165.4499,0,0,-1710,1
133,7.5,37.5,186.3062,0,0,-270,1
133,6.5,41.5,172.5657,0,0,-360,1
21,15.87038,47.67104,192.2717,0,0,930,1
21,15.69417,32.41473,240,0,0,0,1
21,11.82378,35.96748,-381.2869,0,0,180,1
33,14.5,45.5,168.8127,0,0,420,1
21,14.30895,39.59923,268.7029,-10,0,300,0.5400004
0,2.954977,49.80753,253.9052,0,0,0,1
0,3.528181,55.97241,245.6204,0,0,0,1
0,4.5,62.5,251.5438,0,0,0,1
31,1.345948,48.34842,186.7837,-5,0,-240,1
1,2.5,53,253.0708,5,0,720,0.7400002
22,6,51,222.8679,-380,0,1590,1
22,9,58.5,197.088,-380,0,1590,1
22,10,62,197.9927,-380,0,1440,1
24,8.815335,52.34609,244.8019,0,0,-90,1
24,13.0059,60.62997,224.3736,0,0,-90,1
20,6.539249,53.72098,488.4192,25,0,480,1
20,7.977257,60.60386,483.8488,25,0,480,1
24,12.89845,54.39624,173.7103,0,0,2250,1
33,7.5,50,204.5423,355,0,1590,1
25,13.58398,54.67275,172.0679,0,0,2250,1
22,13.7542,52.49927,170.3943,-380,0,1440,1
23,10.71177,57.78862,185.5952,0,0,0,1
23,9.271216,55.18363,192.9659,0,0,60,1
23,13.84443,59.33303,172.9667,0,0,-30,1
23,13.42432,58.65477,173.7092,0,0,30,1
21,15.79589,58.77678,199.817,0,0,930,1
21,13.86554,59.34166,204.7204,0,0,930,1
32,15.17065,48.31041,200.2168,0,0,810,1
0,4,73,256.0709,0,0,0,1
0,3,77,235.1502,0,0,0,1
1,3,67.5,276.5973,0,0,510,1
22,9,65.5,216.1309,-380,0,1590,1
24,9.696751,72.12091,255.8217,0,0,-90,1
24,15,74,171.6683,0,0,750,1
20,4.723854,72.0809,385.9354,60,0,420,1
22,10,80,178.319,-380,0,1440,1
0,3,83,229.2143,0,0,60,1
0,4,88,210.0289,0,0,120,1
0,4,94,187.3848,0,0,210,1
1,2.5,91.5,209.9722,0,0,390,0.7400002
22,8,91,175.8901,-380,0,1440,1
24,13.05716,80.42474,216.8181,0,0,-90,1
24,10.94304,93.14783,214.5406,0,0,-90,1
24,14,88,174.9619,0,0,840,1
20,5.649728,94.41721,295.7228,60,0,420,1
24,10.5,86,173.862,-375,0,2280,1
21,4.156796,92.08738,335.7074,20,0,1470,1
24,16,95.5,165,0,0,840,1
