Header: 0
Map Number: 1
Object Count: 2870
Type,PositionX,PositionY,PositionZ,AngleX,AngleY,AngleZ,Scale
30,13.97105,6.825578,0.4423023,0,0,-60,0.9400001
30,7.849893,6.430034,-0.2085517,0,0,150,1
33,9.5,7.5,0.7948616,-25,0,-30,1
33,15,7.5,1.212334,-25,0,-30,1
0,4.046356,14.98201,2.050257,0,0,0,1
24,14.43087,7.697476,1.632845,0,0,0,1
24,13.08736,5.316862,0.6764935,0,0,120,0.7000003
24,9.632434,7.077857,1.36182,0,0,120,1
33,14.82588,15.01894,1.56105,-365,0,1560,1
32,14.5,15.5,1.607713,-365,0,1500,1
0,3.426851,27.35475,2.348598,0,0,0,1
1,3.5,23.5,2.241425,0,0,570,1
41,6.886664,30.39181,1.466971,-45,0,1530,0.7400002
33,12.05151,30.60702,1.032616,-45,0,1530,1
33,7,31,2.092238,0,0,1530,1
0,3.860868,17.8433,2.242295,0,0,90,1
21,6.269629,29.01292,3.575073,-60,0,-150,1
21,7.469024,23.63986,3.244421,-60,0,-60,1
21,5.931678,17.47761,3.277881,-60,0,-60,1
24,10,28.5,1.808828,-340,0,1890,1
24,7.5,25,1.934654,-340,0,1890,1
24,6,17,1.858941,-340,0,1890,1
24,5.5,22,2.199295,-340,0,1890,1
22,5,28.5,2.495182,-380,0,1590,1
22,6,28.5,2.208392,-380,0,1590,1
21,6.88164,26.241,5.242556,-410,0,1650,1
21,7.193276,31.61792,3.62176,25,0,480,1
33,10.5,29.5,1.759797,355,0,1530,1
21,15.61474,31.82318,2.4,200,0,420,1
24,9.481518,16.4853,2.14887,0,0,120,1
23,14.86549,27.5183,0.7020174,-365,0,1500,1
0,3.5,32,2.398817,0,0,0,1
33,7.5,45.5,2.054013,0,0,570,1
33,6.5,36.5,2.01089,0,0,750,1
32,3.5,44,2.408292,0,0,750,1.739999
32,4,38,2.196832,0,0,810,1.979999
32,4,36,2.239619,35,0,750,1.38
32,2.5,37.5,2.332497,35,0,750,1
32,3,47.5,2.523097,35,0,750,1
32,4.243551,43.71046,4.889112,35,0,780,1.559999
32,4.700819,38.70681,5.310476,35,0,450,1
32,4,34,2.292145,35,0,450,3.279998
32,2.5,33.5,2.394662,60,0,780,2.199999
32,1,36,2.452877,-5,0,60,1.559999
32,1,33,2.472684,-5,0,-30,1
32,12.22787,36.29694,0.8962117,-5,0,-360,0.9200001
31,11.66286,37.03504,0.924234,-5,0,-240,1
31,2.298856,46.44759,1.793411,-5,0,-240,1
31,4.224508,40.21833,6.130251,35,0,120,1
30,4.654581,36.0443,6.500196,35,0,120,1
30,0.3172508,37.30915,6.774902,10,0,480,1
30,3.672881,35.445,4.204562,35,0,480,1
33,5,33.5,2.268442,35,0,480,1
33,5.5,44,2.327822,35,0,480,1
33,11.5,42,1.748975,35,0,480,1
33,12.5,37.5,1.701316,10,0,810,1
33,5.5,38.5,2.160633,35,0,750,1
33,4,43,2.515673,35,0,840,1
41,6.885763,43.52351,1.070892,-20,0,1800,1
33,7.507486,42.10589,1.270907,-45,0,1530,1
33,7.034139,42.3642,1.314731,-45,0,1530,1
33,12.5,45,1.726628,0,0,1530,1
33,7.5,43,2.015101,0,0,1530,1
33,6,34.5,2.089641,0,0,1530,1
21,7.232887,42.76711,3.316641,-305,0,1140,1
21,6.664753,42.32623,3.243479,-305,0,1140,1
21,7.42591,43.05814,3.347896,-305,0,1140,1
21,6.161145,35.4329,3.471536,-305,0,1140,1
21,5.252687,32.62971,3.588468,-305,0,1140,1
20,5.987676,32.806,3.519469,-305,0,1140,1
20,5.546542,34.94116,3.676772,-305,0,1140,1
24,4.662323,34.627,4.843959,-445,0,1710,0.9000001
24,4.907865,34.85522,2.6927,-340,0,1890,1
24,7.922876,43.25377,2.104518,-340,0,1890,1
24,5.28041,37.28808,2.514817,-340,0,1890,1
25,12.5,36.5,1.783228,-340,0,2190,1
