X,Y,Height
0,0,0.443
0,1,0.443
0,2,0.443
0,3,0.443
0,4,0.443
0,5,0.443
0,6,0.443
0,7,0.443
0,8,0.443
0,9,0.443
0,10,0.443
0,11,0.443
0,12,0.443
0,13,0.443
0,14,0.443
0,15,0.443
0,16,0.443
0,17,0.443
0,18,0.443
0,19,0.443
0,20,0.443
0,21,0.443
0,22,0.443
0,23,0.443
0,24,0.443
0,25,0.443
0,26,0.443
0,27,0.443
0,28,0.443
0,29,0.443
0,30,0.443
0,31,0.443
0,32,0.443
0,33,0.443
0,34,0.443
0,35,0.443
0,36,0.443
0,37,0.443
0,38,0.443
0,39,0.443
0,40,0.443
0,41,0.443
0,42,0.443
0,43,0.443
0,44,0.443
0,45,0.443
0,46,0.443
0,47,0.443
0,48,0.443
0,49,0.443
0,50,0.443
0,51,0.443
0,52,0.443
0,53,0.443
0,54,0.443
0,55,0.443
0,56,0.443
0,57,0.443
0,58,0.443
0,59,0.443
0,60,0.443
0,61,0.443
0,62,0.443
0,63,0.443
0,64,0.443
0,65,0.443
0,66,0.443
0,67,0.443
0,68,0.443
0,69,0.443
0,70,0.443
0,71,0.443
0,72,0.443
0,73,0.443
0,74,0.443
0,75,0.443
0,76,0.443
0,77,0.443
0,78,0.443
0,79,0.443
0,80,0.443
0,81,0.443
0,82,0.443
0,83,0.443
0,84,0.443
0,85,0.443
0,86,0.443
0,87,0.443
0,88,0.443
0,89,0.443
0,90,0.443
0,91,0.443
0,92,0.443
0,93,0.443
0,94,0.443
0,95,0.443
0,96,0.443
0,97,0.443
0,98,0.443
0,99,0.443
0,100,0.443
0,101,0.443
0,102,0.443
0,103,0.443
0,104,0.443
0,105,0.443
0,106,0.443
0,107,0.443
0,108,0.443
0,109,0.443
0,110,0.443
0,111,0.443
0,112,0.443
0,113,0.443
0,114,0.443
0,115,0.443
0,116,0.443
0,117,0.443
0,118,0.443
0,119,0.443
0,120,0.443
0,121,0.443
0,122,0.443
0,123,0.443
0,124,0.443
0,125,0.443
0,126,0.443
0,127,0.443
0,128,0.443
0,129,0.443
0,130,0.443
0,131,0.443
0,132,0.443
0,133,0.443
0,134,0.443
0,135,0.443
0,136,0.443
0,137,0.443
0,138,0.443
0,139,0.443
0,140,0.443
0,141,0.443
0,142,0.443
0,143,0.443
0,144,0.443
0,145,0.443
0,146,0.443
0,147,0.443
0,148,0.443
0,149,0.443
0,150,0.443
0,151,0.443
0,152,0.443
0,153,0.443
0,154,0.443
0,155,0.443
0,156,0.443
0,157,0.443
0,158,0.443
0,159,0.443
0,160,0.443
0,161,0.443
0,162,0.443
0,163,0.443
0,164,0.443
0,165,0.443
0,166,0.443
0,167,0.443
0,168,0.443
0,169,0.443
0,170,0.443
0,171,0.443
0,172,0.443
0,173,0.443
0,174,0.443
0,175,0.443
0,176,0.443
0,177,0.443
0,178,0.443
0,179,0.443
0,180,0.443
0,181,0.443
0,182,0.443
0,183,0.443
0,184,0.443
0,185,0.443
0,186,0.443
0,187,0.443
0,188,0.443
0,189,0.443
0,190,0.443
0,191,0.443
0,192,0.443
0,193,0.443
0,194,0.443
0,195,0.443
0,196,0.443
0,197,0.443
0,198,0.443
0,199,0.443
0,200,0.443
0,201,0.443
0,202,0.443
0,203,0.443
0,204,0.443
0,205,0.443
0,206,0.443
0,207,0.443
0,208,0.443
0,209,0.443
0,210,0.443
0,211,0.443
0,212,0.443
0,213,0.443
0,214,0.443
0,215,0.443
0,216,0.443
0,217,0.443
0,218,0.443
0,219,0.443
0,220,0.443
0,221,0.443
0,222,0.443
0,223,0.443
0,224,0.443
0,225,0.443
0,226,0.443
0,227,0.443
0,228,0.443
0,229,0.443
0,230,0.443
0,231,0.443
0,232,0.443
0,233,0.443
0,234,0.443
0,235,0.443
0,236,0.443
0,237,0.443
0,238,0.443
0,239,0.443
0,240,0.443
0,241,0.443
0,242,0.443
0,243,0.443
0,244,0.443
0,245,0.443
0,246,0.443
0,247,0.443
0,248,0.443
0,249,0.443
0,250,0.443
0,251,0.443
0,252,0.443
0,253,0.443
0,254,0.000
0,255,0.000
1,0,0.443
1,1,0.443
1,2,0.443
1,3,0.443
1,4,0.443
1,5,0.443
1,6,0.443
1,7,0.443
1,8,0.443
1,9,0.443
1,10,0.443
1,11,0.443
1,12,0.443
1,13,0.443
1,14,0.443
1,15,0.443
1,16,0.443
1,17,0.443
1,18,0.443
1,19,0.443
1,20,0.443
1,21,0.443
1,22,0.443
1,23,0.443
1,24,0.443
1,25,0.443
1,26,0.443
1,27,0.443
1,28,0.443
1,29,0.443
1,30,0.443
1,31,0.443
1,32,0.443
1,33,0.443
1,34,0.443
1,35,0.443
1,36,0.443
1,37,0.443
1,38,0.443
1,39,0.443
1,40,0.443
1,41,0.443
1,42,0.443
1,43,0.443
1,44,0.443
1,45,0.443
1,46,0.443
1,47,0.443
1,48,0.443
1,49,0.443
1,50,0.443
1,51,0.443
1,52,0.443
1,53,0.443
1,54,0.443
1,55,0.443
1,56,0.443
1,57,0.443
1,58,0.443
1,59,0.443
1,60,0.443
1,61,0.443
1,62,0.443
1,63,0.443
1,64,0.443
1,65,0.443
1,66,0.443
1,67,0.443
1,68,0.443
1,69,0.443
1,70,0.443
1,71,0.443
1,72,0.443
1,73,0.443
1,74,0.443
1,75,0.443
1,76,0.443
1,77,0.443
1,78,0.443
1,79,0.443
1,80,0.443
1,81,0.443
1,82,0.443
1,83,0.443
1,84,0.443
1,85,0.443
1,86,0.443
1,87,0.443
1,88,0.443
1,89,0.443
1,90,0.443
1,91,0.443
1,92,0.443
1,93,0.443
1,94,0.443
1,95,0.443
1,96,0.443
1,97,0.443
1,98,0.443
1,99,0.443
1,100,0.443
1,101,0.443
1,102,0.443
1,103,0.443
1,104,0.443
1,105,0.443
1,106,0.443
1,107,0.443
1,108,0.443
1,109,0.443
1,110,0.443
1,111,0.443
1,112,0.443
1,113,0.443
1,114,0.443
1,115,0.443
1,116,0.443
1,117,0.443
1,118,0.443
1,119,0.443
1,120,0.443
1,121,0.443
1,122,0.443
1,123,0.443
1,124,0.443
1,125,0.443
1,126,0.443
1,127,0.443
1,128,0.443
1,129,0.443
1,130,0.443
1,131,0.443
1,132,0.443
1,133,0.443
1,134,0.443
1,135,0.443
1,136,0.443
1,137,0.443
1,138,0.443
1,139,0.443
1,140,0.443
1,141,0.443
1,142,0.443
1,143,0.443
1,144,0.443
1,145,0.443
1,146,0.443
1,147,0.443
1,148,0.443
1,149,0.443
1,150,0.443
1,151,0.443
1,152,0.443
1,153,0.443
1,154,0.443
1,155,0.443
1,156,0.443
1,157,0.443
1,158,0.443
1,159,0.443
1,160,0.443
1,161,0.443
1,162,0.443
1,163,0.443
1,164,0.443
1,165,0.443
1,166,0.443
1,167,0.443
1,168,0.443
1,169,0.443
1,170,0.443
1,171,0.443
1,172,0.443
1,173,0.443
1,174,0.443
1,175,0.443
1,176,0.443
1,177,0.443
1,178,0.443
1,179,0.443
1,180,0.443
1,181,0.443
1,182,0.443
1,183,0.443
1,184,0.443
1,185,0.443
1,186,0.443
1,187,0.443
1,188,0.443
1,189,0.443
1,190,0.443
1,191,0.443
1,192,0.443
1,193,0.443
1,194,0.443
1,195,0.443
1,196,0.443
1,197,0.443
1,198,0.443
1,199,0.443
1,200,0.443
1,201,0.443
1,202,0.443
1,203,0.443
1,204,0.443
1,205,0.443
1,206,0.443
1,207,0.443
1,208,0.443
1,209,0.443
1,210,0.443
1,211,0.443
1,212,0.443
1,213,0.443
1,214,0.443
1,215,0.443
1,216,0.443
1,217,0.443
1,218,0.443
1,219,0.443
1,220,0.443
1,221,0.443
1,222,0.443
1,223,0.443
1,224,0.443
1,225,0.443
1,226,0.443
1,227,0.443
1,228,0.443
1,229,0.443
1,230,0.443
1,231,0.443
1,232,0.443
1,233,0.443
1,234,0.443
1,235,0.443
1,236,0.443
1,237,0.443
1,238,0.443
1,239,0.443
1,240,0.443
1,241,0.443
1,242,0.443
1,243,0.443
1,244,0.443
1,245,0.443
1,246,0.443
1,247,0.443
1,248,0.443
1,249,0.443
1,250,0.443
1,251,0.443
1,252,0.443
1,253,0.443
1,254,0.000
1,255,0.000
2,0,0.443
2,1,0.443
2,2,0.443
2,3,0.443
2,4,0.443
2,5,0.443
2,6,0.443
2,7,0.443
2,8,0.443
2,9,0.443
2,10,0.443
2,11,0.443
2,12,0.443
2,13,0.443
2,14,0.443
2,15,0.443
2,16,0.443
2,17,0.443
2,18,0.443
2,19,0.443
2,20,0.443
2,21,0.443
2,22,0.443
2,23,0.443
2,24,0.443
2,25,0.443
2,26,0.443
2,27,0.443
2,28,0.443
2,29,0.443
2,30,0.443
2,31,0.443
2,32,0.443
2,33,0.443
2,34,0.443
2,35,0.443
2,36,0.443
2,37,0.443
2,38,0.443
2,39,0.443
2,40,0.443
2,41,0.443
2,42,0.443
2,43,0.443
2,44,0.443
2,45,0.443
2,46,0.443
2,47,0.443
2,48,0.443
2,49,0.443
2,50,0.443
2,51,0.443
2,52,0.443
2,53,0.443
2,54,0.443
2,55,0.443
2,56,0.443
2,57,0.443
2,58,0.443
2,59,0.443
2,60,0.443
2,61,0.443
2,62,0.443
2,63,0.443
2,64,0.443
2,65,0.443
2,66,0.443
2,67,0.443
2,68,0.443
2,69,0.443
2,70,0.443
2,71,0.443
2,72,0.443
2,73,0.443
2,74,0.443
2,75,0.443
2,76,0.443
2,77,0.443
2,78,0.443
2,79,0.443
2,80,0.443
2,81,0.443
2,82,0.443
2,83,0.443
2,84,0.443
2,85,0.443
2,86,0.443
2,87,0.443
2,88,0.443
2,89,0.443
2,90,0.443
2,91,0.443
2,92,0.443
2,93,0.443
2,94,0.443
2,95,0.443
2,96,0.443
2,97,0.443
2,98,0.443
2,99,0.443
2,100,0.443
2,101,0.443
2,102,0.443
2,103,0.443
2,104,0.443
2,105,0.443
2,106,0.443
2,107,0.443
2,108,0.443
2,109,0.443
2,110,0.443
2,111,0.443
2,112,0.443
2,113,0.443
2,114,0.443
2,115,0.443
2,116,0.443
2,117,0.443
2,118,0.443
2,119,0.443
2,120,0.443
2,121,0.443
2,122,0.443
2,123,0.443
2,124,0.443
2,125,0.443
2,126,0.443
2,127,0.443
2,128,0.443
2,129,0.443
2,130,0.443
2,131,0.443
2,132,0.443
2,133,0.443
2,134,0.443
2,135,0.443
2,136,0.443
2,137,0.443
2,138,0.443
2,139,0.443
2,140,0.443
2,141,0.443
2,142,0.443
2,143,0.443
2,144,0.443
2,145,0.443
2,146,0.443
2,147,0.443
2,148,0.443
2,149,0.443
2,150,0.443
2,151,0.443
2,152,0.443
2,153,0.443
2,154,0.443
2,155,0.443
2,156,0.443
2,157,0.443
2,158,0.443
2,159,0.443
2,160,0.443
2,161,0.443
2,162,0.443
2,163,0.443
2,164,0.443
2,165,0.443
2,166,0.443
2,167,0.443
2,168,0.443
2,169,0.443
2,170,0.443
2,171,0.443
2,172,0.443
2,173,0.443
2,174,0.443
2,175,0.443
2,176,0.443
2,177,0.443
2,178,0.443
2,179,0.443
2,180,0.443
2,181,0.443
2,182,0.443
2,183,0.443
2,184,0.443
2,185,0.443
2,186,0.443
2,187,0.443
2,188,0.443
2,189,0.443
2,190,0.443
2,191,0.443
2,192,0.443
2,193,0.443
2,194,0.443
2,195,0.443
2,196,0.443
2,197,0.443
2,198,0.443
2,199,0.443
2,200,0.443
2,201,0.443
2,202,0.443
2,203,0.443
2,204,0.443
2,205,0.443
2,206,0.443
2,207,0.443
2,208,0.443
2,209,0.443
2,210,0.443
2,211,0.443
2,212,0.443
2,213,0.443
2,214,0.443
2,215,0.443
2,216,0.443
2,217,0.443
2,218,0.443
2,219,0.443
2,220,0.443
2,221,0.443
2,222,0.443
2,223,0.443
2,224,0.443
2,225,0.443
2,226,0.443
2,227,0.443
2,228,0.443
2,229,0.443
2,230,0.443
2,231,0.443
2,232,0.443
2,233,0.443
2,234,0.443
2,235,0.443
2,236,0.443
2,237,0.443
2,238,0.443
2,239,0.443
2,240,0.443
2,241,0.443
2,242,0.443
2,243,0.443
2,244,0.443
2,245,0.443
2,246,0.443
2,247,0.443
2,248,0.443
2,249,0.443
2,250,0.443
2,251,0.443
2,252,0.443
2,253,0.443
2,254,0.000
2,255,0.000
3,0,0.443
3,1,0.443
3,2,0.443
3,3,0.443
3,4,0.443
3,5,0.443
3,6,0.443
3,7,0.443
3,8,0.443
3,9,0.443
3,10,0.443
3,11,0.443
3,12,0.443
3,13,0.443
3,14,0.443
3,15,0.443
3,16,0.443
3,17,0.443
3,18,0.443
3,19,0.443
3,20,0.443
3,21,0.443
3,22,0.443
3,23,0.443
