x,y,layer1,layer2,alpha
0,0,8,255,0.00
1,0,8,255,0.00
2,0,8,255,0.00
3,0,8,255,0.00
4,0,8,255,0.00
5,0,8,255,0.00
6,0,8,255,0.00
7,0,8,255,0.00
8,0,8,255,0.00
9,0,8,255,0.00
10,0,8,255,0.00
11,0,8,255,0.00
12,0,8,255,0.00
13,0,8,255,0.00
14,0,8,255,0.00
15,0,8,255,0.00
16,0,8,255,0.00
17,0,8,255,0.00
18,0,8,255,0.00
19,0,8,255,0.00
20,0,8,255,0.00
21,0,8,255,0.00
22,0,8,255,0.00
23,0,8,255,0.00
24,0,8,255,0.00
25,0,8,255,0.00
26,0,8,255,0.00
27,0,8,255,0.00
28,0,8,255,0.00
29,0,8,255,0.00
30,0,8,255,0.00
31,0,8,255,0.00
32,0,8,255,0.00
33,0,8,255,0.00
34,0,8,255,0.00
35,0,8,255,0.00
36,0,8,255,0.00
37,0,8,255,0.00
38,0,8,255,0.00
39,0,8,255,0.00
40,0,8,255,0.00
41,0,8,255,0.00
42,0,8,255,0.00
43,0,8,255,0.00
44,0,8,255,0.00
45,0,8,255,0.00
46,0,8,255,0.00
47,0,8,255,0.00
48,0,8,255,0.00
49,0,8,255,0.00
50,0,8,255,0.00
51,0,8,255,0.00
52,0,8,255,0.00
53,0,8,255,0.00
54,0,8,255,0.00
55,0,8,255,0.00
56,0,8,255,0.00
57,0,8,255,0.00
58,0,8,255,0.00
59,0,8,255,0.00
60,0,8,255,0.00
61,0,8,255,0.00
62,0,8,255,0.00
63,0,8,255,0.00
64,0,8,255,0.00
65,0,8,255,0.00
66,0,8,255,0.00
67,0,8,255,0.00
68,0,8,255,0.00
69,0,8,255,0.00
70,0,8,255,0.00
71,0,8,255,0.00
72,0,8,255,0.00
73,0,8,255,0.00
74,0,8,255,0.00
75,0,8,255,0.00
76,0,8,255,0.00
77,0,8,255,0.00
78,0,8,255,0.00
79,0,8,255,0.00
80,0,8,255,0.00
81,0,8,255,0.00
82,0,8,255,0.00
83,0,8,255,0.00
84,0,8,255,0.00
85,0,8,255,0.00
86,0,8,255,0.00
87,0,8,255,0.00
88,0,8,255,0.00
89,0,8,255,0.00
90,0,8,255,0.00
91,0,8,255,0.00
92,0,8,255,0.00
93,0,8,255,0.00
94,0,8,255,0.00
95,0,8,255,0.00
96,0,8,255,0.00
97,0,8,255,0.00
98,0,8,255,0.00
99,0,8,255,0.00
100,0,8,255,0.00
101,0,8,255,0.00
102,0,8,255,0.00
103,0,8,255,0.00
104,0,8,255,0.00
105,0,8,255,0.00
106,0,8,255,0.00
107,0,8,255,0.00
108,0,8,255,0.00
109,0,8,255,0.00
110,0,8,255,0.00
111,0,8,255,0.00
112,0,8,255,0.00
113,0,8,255,0.00
114,0,8,255,0.00
115,0,8,255,0.00
116,0,8,255,0.00
117,0,8,255,0.00
118,0,8,255,0.00
119,0,8,255,0.00
120,0,8,255,0.00
121,0,8,255,0.00
122,0,8,255,0.00
123,0,8,255,0.00
124,0,8,255,0.00
125,0,8,255,0.00
126,0,8,255,0.00
127,0,8,255,0.00
128,0,8,255,0.00
129,0,8,255,0.00
130,0,8,255,0.00
131,0,8,255,0.00
132,0,8,255,0.00
133,0,8,255,0.00
134,0,8,255,0.00
135,0,8,255,0.00
136,0,8,255,0.00
137,0,8,255,0.00
138,0,8,255,0.00
139,0,8,255,0.00
140,0,8,255,0.00
141,0,8,255,0.00
142,0,8,255,0.00
143,0,8,255,0.00
144,0,8,255,0.00
145,0,8,255,0.00
146,0,8,255,0.00
147,0,8,255,0.00
148,0,8,255,0.00
149,0,8,255,0.00
150,0,8,255,0.00
151,0,8,255,0.00
152,0,8,255,0.00
153,0,8,255,0.00
154,0,8,255,0.00
155,0,8,255,0.00
156,0,8,255,0.00
157,0,8,255,0.00
158,0,8,255,0.00
159,0,8,255,0.00
160,0,8,255,0.00
161,0,8,255,0.00
162,0,8,255,0.00
163,0,8,255,0.00
164,0,8,255,0.00
165,0,8,255,0.00
166,0,8,255,0.00
167,0,8,255,0.00
168,0,8,255,0.00
169,0,8,255,0.00
170,0,8,255,0.00
171,0,8,255,0.00
172,0,8,255,0.00
173,0,8,255,0.00
174,0,8,255,0.00
175,0,8,255,0.00
176,0,8,255,0.00
177,0,8,255,0.00
178,0,8,255,0.00
179,0,8,255,0.00
180,0,8,255,0.00
181,0,8,255,0.00
182,0,8,255,0.00
183,0,8,255,0.00
184,0,8,255,0.00
185,0,8,255,0.00
186,0,8,255,0.00
187,0,8,255,0.00
188,0,8,255,0.00
189,0,8,255,0.00
190,0,8,255,0.00
191,0,8,255,0.00
192,0,8,255,0.00
193,0,8,255,0.00
194,0,8,255,0.00
195,0,8,255,0.00
196,0,8,255,0.00
197,0,8,255,0.00
198,0,8,255,0.00
199,0,8,255,0.00
200,0,8,255,0.00
201,0,8,255,0.00
202,0,8,255,0.00
203,0,8,255,0.00
204,0,8,255,0.00
205,0,8,255,0.00
206,0,8,255,0.00
207,0,8,255,0.00
208,0,8,255,0.00
209,0,8,255,0.00
210,0,8,255,0.00
211,0,8,255,0.00
212,0,8,255,0.00
213,0,8,255,0.00
214,0,8,255,0.00
215,0,8,255,0.00
216,0,8,255,0.00
217,0,8,255,0.00
218,0,8,255,0.00
219,0,8,255,0.00
220,0,8,255,0.00
221,0,8,255,0.00
222,0,8,255,0.00
223,0,8,255,0.00
224,0,8,255,0.00
225,0,8,255,0.00
226,0,8,255,0.00
227,0,8,255,0.00
228,0,8,255,0.00
229,0,8,255,0.00
230,0,8,255,0.00
231,0,8,255,0.00
232,0,8,255,0.00
233,0,8,255,0.00
234,0,8,255,0.00
235,0,8,255,0.00
236,0,8,255,0.00
237,0,8,255,0.00
238,0,8,255,0.00
239,0,8,255,0.00
240,0,8,255,0.00
241,0,8,255,0.00
242,0,8,255,0.00
243,0,8,255,0.00
244,0,8,255,0.00
245,0,8,255,0.00
246,0,8,255,0.00
247,0,8,255,0.00
248,0,8,255,0.00
249,0,8,255,0.00
250,0,8,255,0.00
251,0,8,255,0.00
252,0,8,255,0.00
253,0,8,255,0.00
254,0,8,255,0.00
255,0,8,255,0.00
0,1,8,255,0.00
1,1,8,255,0.00
2,1,8,255,0.00
3,1,8,255,0.00
4,1,8,255,0.00
5,1,8,255,0.00
6,1,8,255,0.00
7,1,8,255,0.00
8,1,8,255,0.00
9,1,8,255,0.00
10,1,8,255,0.00
11,1,8,255,0.00
12,1,8,255,0.00
13,1,8,255,0.00
14,1,8,255,0.00
15,1,8,255,0.00
16,1,8,255,0.00
17,1,8,255,0.00
18,1,8,255,0.00
19,1,8,255,0.00
20,1,8,255,0.00
21,1,8,255,0.00
22,1,8,255,0.00
23,1,8,255,0.00
24,1,8,255,0.00
25,1,8,255,0.00
26,1,8,255,0.00
27,1,8,255,0.00
28,1,8,255,0.00
29,1,8,255,0.00
30,1,8,255,0.00
31,1,8,255,0.00
32,1,8,255,0.00
33,1,8,255,0.00
34,1,8,255,0.00
35,1,8,255,0.00
36,1,8,255,0.00
37,1,8,255,0.00
38,1,8,255,0.00
39,1,8,255,0.00
40,1,8,255,0.00
41,1,8,255,0.00
42,1,8,255,0.00
43,1,8,255,0.00
44,1,8,255,0.00
45,1,8,255,0.00
46,1,8,255,0.00
47,1,8,255,0.00
48,1,8,255,0.00
49,1,8,255,0.00
50,1,8,255,0.00
51,1,8,255,0.00
52,1,8,255,0.00
53,1,8,255,0.00
54,1,8,255,0.00
55,1,8,255,0.00
56,1,8,255,0.00
57,1,8,255,0.00
58,1,8,255,0.00
59,1,8,255,0.00
60,1,8,255,0.00
61,1,8,255,0.00
62,1,8,255,0.00
63,1,8,255,0.00
64,1,8,255,0.00
65,1,8,255,0.00
66,1,8,255,0.00
67,1,8,255,0.00
68,1,8,255,0.00
69,1,8,255,0.00
70,1,8,255,0.00
71,1,8,255,0.00
72,1,8,255,0.00
73,1,8,255,0.00
74,1,8,255,0.00
75,1,8,255,0.00
76,1,8,255,0.00
77,1,8,255,0.00
78,1,8,255,0.00
79,1,8,255,0.00
80,1,8,255,0.00
81,1,8,255,0.00
82,1,8,255,0.00
83,1,8,255,0.00
84,1,8,255,0.00
85,1,8,255,0.00
86,1,8,255,0.00
87,1,8,255,0.00
88,1,8,255,0.00
89,1,8,255,0.00
90,1,8,255,0.00
91,1,8,255,0.00
92,1,8,255,0.00
93,1,8,255,0.00
94,1,8,255,0.00
95,1,8,255,0.00
96,1,8,255,0.00
97,1,8,255,0.00
98,1,8,255,0.00
99,1,8,255,0.00
100,1,8,255,0.00
101,1,8,255,0.00
102,1,8,255,0.00
103,1,8,255,0.00
104,1,8,255,0.00
